t_s,q1_sim,q1_ref,q2_sim,q2_ref,dq1_sim,dq1_ref,dq2_sim,dq2_ref,tau1,tau2
14.6159999999973,1.25460066299782,1.24999937124726,1.24623307822704,1.2500004491091,-0.00207028048644483,6.28752736424251e-07,0.00433632920851082,-4.49109097445894e-07,0.356483613194964,-4.95853373106811
14.6169999999973,1.25459859271733,1.2499993718757,1.24623741455625,1.25000044866021,-0.00207162279325461,6.2812429795943e-07,0.00429098781972915,-4.48660212828164e-07,0.175779947987361,-5.13697635206456
14.6179999999973,1.25459652109454,1.24999937250351,1.24624170554407,1.25000044821178,-0.00207232738952752,6.27496487618958e-07,0.0042109330184789,-4.48211776870684e-07,0.177296354812408,-5.13186802700242
14.6189999999973,1.25459444876715,1.2499993731307,1.24624591647708,1.25000044776379,-0.00207360812410628,6.26869304775027e-07,0.0041324517518338,-4.47763789125019e-07,0.360463976871669,-4.94517958690049
14.6199999999973,1.25459237515903,1.24999937375725,1.24625004892884,1.25000044731625,-0.00207645607518002,6.26242748800452e-07,0.00409122392425579,-4.4731624914318e-07,0.655329255861373,-4.64823942609682
14.6209999999973,1.25459029870295,1.24999937438318,1.24625414015276,1.25000044686916,-0.00208126099979078,6.25616819068679e-07,0.00410869387302608,-4.46869156477628e-07,0.949273814045283,-4.35448848024179
14.6219999999973,1.25458821744195,1.24999937500849,1.24625824884663,1.25000044642251,-0.00208766247320193,6.24991514953777e-07,0.00418387935245048,-4.46422510681269e-07,1.13003084752568,-4.17614964506071
14.6229999999973,1.25458612977948,1.24999937563316,1.24626243272599,1.25000044597631,-0.00209468757188081,6.24366835830442e-07,0.00429374671003339,-4.45976311307458e-07,1.12856723031351,-4.18136244497846
14.6239999999973,1.25458403509191,1.24999937625722,1.2462667264727,1.25000044553056,-0.00210112250722146,6.23742781073994e-07,0.00440200894716375,-4.45530557909996e-07,0.945451822675852,-4.36815605109092
14.6249999999973,1.2545819339694,1.24999937688065,1.24627112848164,1.25000044508525,-0.00210597625686169,6.2311935006038e-07,0.00447298610233233,-4.45085250043129e-07,0.650638186129702,-4.66520207098515
14.6259999999973,1.25457982799314,1.24999937750346,1.24627560146775,1.25000044464039,-0.00210885909891775,6.22496542166168e-07,0.00448523375816448,-4.44640387261548e-07,0.356744700497096,-4.95905957004013
14.6269999999973,1.25457771913404,1.24999937812564,1.2462800867015,1.25000044419597,-0.00211013145980564,6.2187435676855e-07,0.00443973404373561,-4.44195969120393e-07,0.176038169763926,-5.13750565217716
14.6279999999973,1.25457560900258,1.24999937874721,1.24628452643555,1.250000443752,-0.00211076622476956,6.2125279324534e-07,0.00435952045206093,-4.43751995175243e-07,0.177551717707699,-5.13240079099647
14.6289999999973,1.25457349823636,1.24999937936815,1.246288885956,1.25000044330847,-0.00211197711334396,6.20631850974975e-07,0.00428087978998756,-4.43308464982125e-07,0.360716479997883,-4.94571581219101
14.6299999999973,1.25457138625924,1.24999937998847,1.24629316683579,1.25000044286538,-0.00211475507581833,6.20011529336513e-07,0.00423949182519746,-4.4286537809751e-07,0.655578890836759,-4.64877910490508
14.6309999999973,1.25456927150417,1.24999938060817,1.24629740632761,1.25000044242273,-0.00211948979189311,6.19391827709632e-07,0.00425680081434448,-4.42422734078309e-07,0.949520567858587,-4.35503160171068
14.6319999999973,1.25456715201438,1.24999938122725,1.24630166312843,1.25000044198053,-0.0021258208401625,6.18772745474631e-07,0.00433182451881208,-4.41980532481879e-07,1.13027470727542,-4.17669619856906
14.6329999999973,1.25456502619354,1.24999938184572,1.24630599495295,1.25000044153877,-0.00213277538047478,6.18154282012426e-07,0.00444152937901515,-4.41538772866019e-07,1.12880818788053,-4.18191242336525
14.6339999999973,1.25456289341816,1.24999938246356,1.24631043648233,1.25000044109745,-0.0021391397563469,6.17536436704555e-07,0.00454962854030674,-4.41097454788968e-07,0.945689877630017,-4.36870945260519
14.6349999999973,1.2545607542784,1.24999938308079,1.24631498611087,1.25000044065658,-0.00214392307605905,6.16919208933172e-07,0.00462044218158539,-4.40656577809409e-07,0.650873345728758,-4.66575889911005
14.6359999999973,1.25455861035532,1.2499993836974,1.24631960655305,1.25000044021614,-0.00214673569689787,6.1630259808105e-07,0.00463252596872737,-4.40216141486464e-07,0.356976976704493,-4.95961983136983
14.6369999999973,1.25455646361963,1.2499993843134,1.24632423907902,1.25000043977615,-0.00214793804237598,6.15686603531577e-07,0.00458686202483451,-4.39776145379698e-07,0.176267574488147,-5.1380693530191
14.6379999999973,1.25455431568158,1.24999938492878,1.24632882594104,1.25000043933659,-0.00214850291342202,6.15071224668759e-07,0.00450648374966416,-4.39336589049113e-07,0.17777825799614,-5.13296793411775
14.6389999999973,1.25455216717867,1.24999938554354,1.24633333242479,1.25000043889747,-0.00214964389571825,6.14456460877216e-07,0.00442767780492414,-4.38897472055154e-07,0.360940155115272,-4.94628639483795
14.6399999999973,1.25455001753478,1.24999938615769,1.2463377601026,1.25000043845879,-0.00215235180724882,6.13842311542186e-07,0.00438612381682089,-4.38458793958704e-07,0.655799692282724,-4.64935311894654
